id,doi,title,authors,year,journal,supports
demo-ref-1,,"Demo reference — sample data (placeholder, not a real citation)",,,,1
demo-ref-2,,"Demo reference — sample data (placeholder, not a real citation)",,,,1
demo-ref-3,,"Demo reference — sample data (placeholder, not a real citation)",,,,1
demo-ref-4,,"Demo reference — sample data (placeholder, not a real citation)",,,,1
demo-ref-5,,"Demo reference — sample data (placeholder, not a real citation)",,,,1
demo-ref-6,,"Demo reference — sample data (placeholder, not a real citation)",,,,1
demo-ref-7,,"Demo reference — sample data (placeholder, not a real citation)",,,,1
demo-ref-8,,"Demo reference — sample data (placeholder, not a real citation)",,,,1
demo-ref-9,,"Demo reference — sample data (placeholder, not a real citation)",,,,1
demo-ref-10,,"Demo reference — sample data (placeholder, not a real citation)",,,,1
demo-ref-11,,"Demo reference — sample data (placeholder, not a real citation)",,,,1
demo-ref-12,,"Demo reference — sample data (placeholder, not a real citation)",,,,1
demo-ref-13,,"Demo reference — sample data (placeholder, not a real citation)",,,,1
demo-ref-14,,"Demo reference — sample data (placeholder, not a real citation)",,,,1
demo-ref-15,,"Demo reference — sample data (placeholder, not a real citation)",,,,1
